via,placa,numero_placa,latitud,longitud
CR 91,78B-15 (0117),,6.28821184,-75.59105016
CR 91,78B-15 (0114),,6.28819549,-75.59106242
CR 91,78B-15 (0107),,6.28822427,-75.59100011
CL 99B,25B-44,,6.28797642,-75.54038893
CR 24F,97A-16 (0112),,6.28702236,-75.5400877
CR 42E,126-02 (0157),,6.30389651,-75.54372264
CR 42E,126-02 (0194),,6.30403705,-75.5442095
CL 4G,81A-105,,6.21652803,-75.60621449
CR 42E,126-02 (0104),,6.30406815,-75.54423093
CR 84F,3D-150,,6.21552627,-75.60797555
CL 125C,42B-126,,6.30358571,-75.54404949
CL 125C,42B-96 LOTE,,6.30376346,-75.54371963
CL 110,68A-62,,6.30685674,-75.56806309
CL 111A,68A-85,,6.30770007,-75.56801137
CR 38,99C-02,,6.28970833,-75.54680616
CL 56HC,56H-24,,6.24788374,-75.5418197
CL 56H,18D-31 LOTE,,6.24766154,-75.54164277
CL 56H,18D-41 LOTE,,6.24764966,-75.54172965
CL 56H,18D-39 LOTE,,6.24765183,-75.54172256
CL 51A,54A ESTE-24,,6.23596741,-75.4760905
CR 54A ESTE,51A-36,,6.2361737,-75.47614706
CL 68A,30-30 (0109),,6.26248919,-75.54378968
CR 44A,89-115,,6.28189038,-75.5520696
CL 92,36CA-53,,6.28304645,-75.54780785
CL 68,26-86 (0115),,6.26170172,-75.54175887
CL 48D,110-26 LOTE,,6.26276965,-75.62345432
CR 110,48D-45 (0105),,6.26290661,-75.62332891
CR 110,48D-45 (0108),,6.26291995,-75.62333016
CL 57B,16C-39 (0104),,6.25082929,-75.53795594
CR 10,19 SUR-490 (0127),,6.17617197,-75.54938491
CR 99,66A-170 LOTE,,6.2846907,-75.61145135
CR 20,56FH-18,,6.2473277,-75.54206543
CL 56FH,19-20 (0107),,6.24739175,-75.54201444
CR 55 ESTE,51A-231 (0110),,6.2382465,-75.47352111
CL 70,143-208 (0101),,6.29048209,-75.64155928
CL 70,143-208 (0102),,6.2905368,-75.64158732
CL 81,31A-39,,6.27151108,-75.54501828
CL 70,143-260 (0107),,6.29018552,-75.64256207
CR 43B,107B-13 (0105),,6.2959421,-75.54996893
CL 108C,28AE-40 (0116),,6.29868458,-75.53934764
CR 28F,111-110 (0142),,6.3005678,-75.54051495
CR 28E,108DB-109 (0153),,6.30043978,-75.54002755
CR 28F,111-148 (0261),,6.30114192,-75.54012561
CR 218,135-531 (0120),,6.34470801,-75.70454837
CR 218,135-531 (0140),,6.34482386,-75.7047142
CR 28A,107B-136,,6.29712233,-75.53985343
CR 28F,111-148 (0302),,6.30120895,-75.53994476
CR 28F,111-148 (0300),,6.30127062,-75.54007227
CR 28F,111-148 (0296),,6.30117417,-75.54009106
CL 45 SUR,72-62 LOTE,,6.18129792,-75.65361173
CL 45 SUR,72-116 LOTE,,6.18155609,-75.65412977
